Name,English,Urdu,Math,Physics,Chemistry,Computer Science,Islamiyat,Pakistan Studies,Total,Percentage,Status,Grade
Abubakar,118,120,130,110,105,115,82,78,858,78,Pass,A
Ahmed,95,98,85,75,70,90,68,65,646,58.72727272727273,Pass,C
Sara,135,140,145,138,132,140,91,88,1009,91.72727272727272,Pass,A+
Zain,110,112,120,102,98,125,74,72,813,73.9090909090909,Pass,A
Ali,45,50,25,20,18,35,40,38,271,24.636363636363637,Fail,F
Hassan,72,68,55,60,58,66,55,52,486,44.18181818181818,Pass,D
Fatima,128,132,138,130,126,135,85,84,958,87.09090909090908,Pass,A+
Usman,88,90,75,70,68,80,62,60,593,53.90909090909091,Pass,C
Ayesha,60,58,42,40,39,50,48,45,382,34.72727272727273,Fail,F
Bilal,52,49,30,35,32,45,44,40,327,29.72727272727273,Fail,F
Hamza,100,102,110,98,95,108,70,68,751,68.27272727272728,Pass,B
Haleema,140,145,148,142,139,144,92,90,1040,94.54545454545455,Pass,A+
Saad,76,80,66,64,61,70,58,55,530,48.18181818181818,Pass,D
Iqra,125,130,140,128,124,136,88,86,957,87,Pass,A+
Talha,69,65,58,55,53,60,52,50,462,42,Pass,D
Noor,132,138,142,135,130,139,90,89,995,90.45454545454545,Pass,A+
Daniyal,84,87,79,74,72,82,64,62,604,54.90909090909091,Pass,C
Laiba,119,122,126,115,112,120,80,76,870,79.0909090909091,Pass,A
Huzaifa,57,60,45,39,36,48,46,42,373,33.909090909090914,Fail,F
Sana,137,141,144,140,136,142,94,93,1027,93.36363636363636,Pass,A+
